Date,Rate,High (est),Low (est)
2001-12-06,249.019,251.96,246.11
2001-12-07,249.07,0.0,0.0
2001-12-10,249.427,252.19,246.7
2001-12-11,248.254,0.0,0.0
2001-12-12,247.285,250.08,244.52
2001-12-13,246.862,0.0,0.0
2001-12-14,247.079,0.0,0.0
2001-12-17,246.287,249.24,243.37
2001-12-18,245.394,0.0,0.0
2001-12-19,245.169,247.97,242.4
2001-12-20,246.393,249.12,243.7
2001-12-21,246.197,249.19,243.24
2001-12-24,245.761,0.0,0.0
2001-12-25,246.211,248.93,243.52
2001-12-26,245.986,249.01,243.0
2001-12-27,245.74,0.0,0.0
2001-12-28,245.783,248.61,242.99
2001-12-31,245.21,0.0,0.0
2002-01-01,244.717,247.51,241.96
2002-01-02,244.546,247.54,241.59
2002-01-03,244.963,0.0,0.0
2002-01-04,244.425,0.0,0.0
2002-01-07,243.659,0.0,0.0
2002-01-08,243.903,246.88,240.96
2002-01-09,243.998,0.0,0.0
2002-01-10,244.086,0.0,0.0
2002-01-11,244.655,0.0,0.0
2002-01-14,244.443,0.0,0.0
2002-01-15,244.137,247.01,241.3
2002-01-16,243.469,246.2,240.77
2002-01-17,243.351,246.21,240.52
2002-01-18,243.382,246.09,240.7
2002-01-21,243.424,0.0,0.0
2002-01-22,243.392,0.0,0.0
2002-01-23,243.281,246.3,240.3
2002-01-24,243.746,0.0,0.0
2002-01-25,244.202,247.04,241.4
2002-01-28,243.772,246.62,240.96
2002-01-29,243.136,246.15,240.16
2002-01-30,243.304,246.18,240.46
2002-01-31,243.301,0.0,0.0
2002-02-01,243.148,0.0,0.0
2002-02-04,243.671,246.47,240.9
2002-02-05,243.895,246.88,240.94
2002-02-06,244.283,0.0,0.0
2002-02-07,244.252,247.14,241.39
2002-02-08,244.027,0.0,0.0
2002-02-11,243.635,246.34,240.96
2002-02-12,243.198,246.13,240.3
2002-02-13,243.349,0.0,0.0
2002-02-14,241.731,244.48,239.01
2002-02-15,240.585,243.39,237.81
2002-02-18,241.48,244.3,238.69
2002-02-19,242.881,245.87,239.93
2002-02-20,243.282,246.03,240.56
2002-02-21,243.337,0.0,0.0
2002-02-22,243.686,0.0,0.0
2002-02-25,243.559,246.28,240.87
2002-02-26,244.816,0.0,0.0
2002-02-27,245.366,0.0,0.0
2002-02-28,245.381,248.36,242.44
2002-03-01,245.451,248.28,242.66
2002-03-04,245.104,248.05,242.19
2002-03-05,244.306,247.05,241.59
2002-03-06,244.07,0.0,0.0
2002-03-07,244.705,0.0,0.0
2002-03-08,245.243,248.17,242.35
2002-03-11,244.952,0.0,0.0
2002-03-12,244.739,0.0,0.0
2002-03-13,245.323,248.29,242.39
2002-03-14,245.527,248.54,242.55
2002-03-15,245.554,248.37,242.77
2002-03-18,245.439,248.31,242.6
2002-03-19,245.33,248.06,242.63
2002-03-20,244.727,247.74,241.75
2002-03-21,244.183,0.0,0.0
2002-03-22,244.022,246.76,241.31
2002-03-25,244.159,0.0,0.0
2002-03-26,244.279,0.0,0.0
2002-03-27,243.933,0.0,0.0
2002-03-28,243.421,246.15,240.72
2002-03-29,243.38,246.25,240.55
2002-04-01,243.252,246.03,240.51
2002-04-02,243.152,0.0,0.0
2002-04-03,242.753,0.0,0.0
2002-04-04,242.532,0.0,0.0
2002-04-05,242.945,0.0,0.0
2002-04-08,242.483,245.46,239.54
2002-04-09,242.416,0.0,0.0
2002-04-10,242.652,245.34,239.99
2002-04-11,242.02,244.89,239.18
2002-04-12,241.134,243.93,238.37
2002-04-15,241.262,244.23,238.33
2002-04-16,241.773,244.59,238.99
2002-04-17,242.195,245.03,239.39
2002-04-18,242.167,244.91,239.45
2002-04-19,242.068,244.87,239.3
2002-04-22,241.744,244.5,239.02
2002-04-23,241.083,243.96,238.24
2002-04-24,240.916,243.68,238.19
2002-04-25,242.282,0.0,0.0
2002-04-26,242.9,245.71,240.12
2002-04-29,242.978,245.89,240.1
2002-04-30,243.0,245.7,240.33
2002-05-01,242.978,0.0,0.0
2002-05-02,243.317,246.05,240.62
2002-05-03,244.315,247.2,241.46
2002-05-06,244.099,0.0,0.0
2002-05-07,243.66,246.41,240.94
2002-05-08,243.53,0.0,0.0
2002-05-09,243.829,246.67,241.02
2002-05-10,244.241,0.0,0.0
