,Date,Rate,High (est),Low (est),MA12,MA26,PCT_change,Signals
3137,2010-06-01,275.90341186523,276.86511230469,271.98803710938,276.9009424845375,276.05439171424234,0.005206373109466478,0
3138,2010-06-02,275.21844482422,276.11029052734,274.53363037109,276.5444513956708,276.27878981370156,-0.0024826334563219365,0
3139,2010-06-03,280.80999755859,282.1650390625,271.12503051758,276.61798095703085,276.502588125375,0.020316780504814114,0
3140,2010-06-04,288.3821105957,289.35974121094,279.75079345703,277.44995371500585,276.9302168626046,0.02696525445298681,0
3141,2010-06-06,284.85073852539,288.22137451172,283.80096435547,278.05194346109914,277.05908085749655,-0.01224546163080431,0
3142,2010-06-07,284.85073852539,288.22137451172,283.80096435547,278.6539332071925,277.3007542536804,0.0,0
3143,2010-06-08,283.58154296875,286.12585449219,282.10299682617,279.07939402262247,277.7096029428331,-0.004455651276209949,0
3144,2010-06-09,281.67984008789,282.83166503906,280.59014892578,279.46357218424333,278.0453092134911,-0.006706017821017207,0
3145,2010-06-10,278.18072509766,282.0549621582,277.70086669922,279.73673502604083,278.17040193997883,-0.012422312470563024,0
3146,2010-06-11,280.50009155273,281.7434387207,277.44223022461,280.24220275878747,278.5117363562946,0.008337624593708792,0
3147,2010-06-13,278.92626953125,282.32928466797,278.18087768555,280.6131922403958,278.75388629619846,-0.005610771863809316,0
3148,2010-06-14,278.92626953125,282.32928466797,278.18087768555,280.98418172200417,278.84364318847616,0.0,0
3149,2010-06-15,278.80508422852,280.47860717773,278.47836303711,281.22598775227834,278.92946918194076,-0.00043447074000468877,0
3150,2010-06-16,278.40979003906,281.03155517578,277.37161254883,281.4919331868483,279.00009155273386,-0.0014178155701637385,0
3151,2010-06-17,279.47549438477,281.27563476562,278.24520874023,281.38072458902997,279.0541710486777,0.0038278264049569355,0
3152,2010-06-18,278.94064331055,280.87387084961,278.67855834961,280.59393564860085,279.0327981802135,-0.0019137673426338209,0
3153,2010-06-20,279.43838500977,280.25744628906,273.57397460938,280.1429061889658,279.0139805720404,0.0017844000548383754,0
3154,2010-06-21,279.43838500977,280.25744628906,273.57397460938,279.69187672933083,279.0539785531854,0.0,0
3155,2010-06-22,279.25759887695,280.21917724609,279.06600952148,279.33154805501414,279.11669921875,-0.000646962416468555,0
3156,2010-06-23,279.97537231445,281.09164428711,279.30596923828,279.18950907389416,279.2070265549877,0.0025702915171748053,0
3157,2010-06-24,281.82443237305,283.72543334961,279.69082641602,279.4931513468433,279.33581190842847,0.006604366817390073,0
3158,2010-06-25,284.14642333984,285.54791259766,282.68304443359,279.79701232910253,279.60799349271304,0.008239140046297999,0
3159,2010-06-27,285.61254882812,285.90533447266,282.55963134766,280.3542022705083,280.01990802471425,0.005159753450517668,0
3160,2010-06-28,285.61254882812,285.90533447266,282.55963134766,280.9113922119142,280.44983379657384,0.0,0
3161,2010-06-29,287.06173706055,287.97326660156,284.62399291992,281.5994466145833,280.93396230844303,0.005073965546598336,0
3162,2010-06-30,283.65090942383,286.95367431641,284.59143066406,282.0362065633142,281.28690514197694,-0.011881860925270438,0
3163,2010-07-01,285.84649658203,286.92022705078,278.9231262207,282.5671234130858,281.6693314772384,0.007740455204814367,0
3164,2010-07-02,285.85256958008,285.79455566406,284.41906738281,283.14311726887996,282.0783362755408,2.124566199901423e-05,0
3165,2010-07-04,285.20385742188,285.95556640625,284.86614990234,283.6235733032225,282.24733088566734,-0.0022693941815984386,0
3166,2010-07-05,285.20385742188,285.95556640625,284.86614990234,284.104029337565,282.12509037898195,0.0,0
3167,2010-07-06,283.42211914062,285.6162109375,283.66506958008,284.4510726928708,282.0701434795677,-0.0062472446809315185,0
3168,2010-07-07,282.94403076172,285.12393188477,282.16195678711,284.69846089681,281.9968085655804,-0.0016868421573786874,0
3169,2010-07-08,280.52606201172,283.09390258789,279.81646728516,284.59026336669916,281.87929006723306,-0.00854574929002927,0
3170,2010-07-09,279.17916870117,280.61102294922,279.82446289062,284.17632548014336,281.7831103985131,-0.004801312579983175,0
3171,2010-07-11,277.0055847168,279.82824707031,278.11645507812,283.4590784708667,281.73791269155697,-0.007785623814563936,0
3172,2010-07-12,277.0055847168,279.82824707031,278.11645507812,282.74183146159,281.6035085824827,0.0,0
3173,2010-07-13,277.65835571289,278.70184326172,277.45220947266,281.958216349285,281.5547426663919,0.002356526482155008,0
3174,2010-07-14,277.90802001953,278.53399658203,277.33346557617,281.47964223226,281.51557922363344,0.0008991780780340797,0
3175,2010-07-15,279.0505065918,278.40280151367,279.28070068359,280.9133097330742,281.5250185452981,0.00411102411578379,0
3176,2010-07-16,281.78665161133,281.5163269043,279.99063110352,280.5744832356783,281.65489783653925,0.009805196388811721,0
3177,2010-07-18,289.42974853516,289.72576904297,283.07916259766,280.9266408284517,282.0377537654004,0.027123701141004153,0
3178,2010-07-19,289.42974853516,289.72576904297,283.07916259766,281.278798421225,282.44118088942383,0.0,0
3179,2010-07-20,286.00714111328,290.46841430664,288.45175170898,281.4942169189467,282.69382535494344,-0.01182534773706656,0
